date,drug_name,category,quantity_sold,day_of_week,month,is_weekend
2024-06-29,Multivitamins Syrup,Supplement,24,5,6,1
2024-06-30,Multivitamins Syrup,Supplement,22,6,6,1
2024-07-01,Multivitamins Syrup,Supplement,24,0,7,0
2024-07-02,Multivitamins Syrup,Supplement,27,1,7,0
2024-07-03,Multivitamins Syrup,Supplement,21,2,7,0
2024-07-04,Multivitamins Syrup,Supplement,21,3,7,0
2024-07-05,Multivitamins Syrup,Supplement,27,4,7,0
2024-07-06,Multivitamins Syrup,Supplement,25,5,7,1
2024-07-07,Multivitamins Syrup,Supplement,21,6,7,1
2024-07-08,Multivitamins Syrup,Supplement,24,0,7,0
2024-07-09,Multivitamins Syrup,Supplement,21,1,7,0
2024-07-10,Multivitamins Syrup,Supplement,21,2,7,0
2024-07-11,Multivitamins Syrup,Supplement,23,3,7,0
2024-07-12,Multivitamins Syrup,Supplement,16,4,7,0
2024-07-13,Multivitamins Syrup,Supplement,16,5,7,1
2024-07-14,Multivitamins Syrup,Supplement,20,6,7,1
2024-07-15,Multivitamins Syrup,Supplement,19,0,7,0
2024-07-16,Multivitamins Syrup,Supplement,23,1,7,0
2024-07-17,Multivitamins Syrup,Supplement,19,2,7,0
2024-07-18,Multivitamins Syrup,Supplement,17,3,7,0
2024-07-19,Multivitamins Syrup,Supplement,27,4,7,0
2024-07-20,Multivitamins Syrup,Supplement,21,5,7,1
2024-07-21,Multivitamins Syrup,Supplement,22,6,7,1
2024-07-22,Multivitamins Syrup,Supplement,17,0,7,0
2024-07-23,Multivitamins Syrup,Supplement,20,1,7,0
2024-07-24,Multivitamins Syrup,Supplement,22,2,7,0
2024-07-25,Multivitamins Syrup,Supplement,18,3,7,0
2024-07-26,Multivitamins Syrup,Supplement,23,4,7,0
2024-07-27,Multivitamins Syrup,Supplement,20,5,7,1
2024-07-28,Multivitamins Syrup,Supplement,21,6,7,1
2024-07-29,Multivitamins Syrup,Supplement,20,0,7,0
2024-07-30,Multivitamins Syrup,Supplement,28,1,7,0
2024-07-31,Multivitamins Syrup,Supplement,22,2,7,0
2024-08-01,Multivitamins Syrup,Supplement,19,3,8,0
2024-08-02,Multivitamins Syrup,Supplement,25,4,8,0
2024-08-03,Multivitamins Syrup,Supplement,18,5,8,1
2024-08-04,Multivitamins Syrup,Supplement,23,6,8,1
2024-08-05,Multivitamins Syrup,Supplement,16,0,8,0
2024-08-06,Multivitamins Syrup,Supplement,18,1,8,0
2024-08-07,Multivitamins Syrup,Supplement,23,2,8,0
2024-08-08,Multivitamins Syrup,Supplement,25,3,8,0
2024-08-09,Multivitamins Syrup,Supplement,23,4,8,0
2024-08-10,Multivitamins Syrup,Supplement,22,5,8,1
2024-08-11,Multivitamins Syrup,Supplement,21,6,8,1
2024-08-12,Multivitamins Syrup,Supplement,17,0,8,0
2024-08-13,Multivitamins Syrup,Supplement,20,1,8,0
2024-08-14,Multivitamins Syrup,Supplement,21,2,8,0
2024-08-15,Multivitamins Syrup,Supplement,26,3,8,0
2024-08-16,Multivitamins Syrup,Supplement,23,4,8,0
2024-08-17,Multivitamins Syrup,Supplement,16,5,8,1
2024-08-18,Multivitamins Syrup,Supplement,23,6,8,1
2024-08-19,Multivitamins Syrup,Supplement,21,0,8,0
2024-08-20,Multivitamins Syrup,Supplement,20,1,8,0
2024-08-21,Multivitamins Syrup,Supplement,24,2,8,0
2024-08-22,Multivitamins Syrup,Supplement,26,3,8,0
2024-08-23,Multivitamins Syrup,Supplement,25,4,8,0
2024-08-24,Multivitamins Syrup,Supplement,19,5,8,1
2024-08-25,Multivitamins Syrup,Supplement,21,6,8,1
2024-08-26,Multivitamins Syrup,Supplement,23,0,8,0
2024-08-27,Multivitamins Syrup,Supplement,25,1,8,0
2024-08-28,Multivitamins Syrup,Supplement,21,2,8,0
2024-08-29,Multivitamins Syrup,Supplement,22,3,8,0
2024-08-30,Multivitamins Syrup,Supplement,19,4,8,0
2024-08-31,Multivitamins Syrup,Supplement,18,5,8,1
2024-09-01,Multivitamins Syrup,Supplement,29,6,9,1
2024-09-02,Multivitamins Syrup,Supplement,31,0,9,0
2024-09-03,Multivitamins Syrup,Supplement,27,1,9,0
2024-09-04,Multivitamins Syrup,Supplement,30,2,9,0
2024-09-05,Multivitamins Syrup,Supplement,28,3,9,0
2024-09-06,Multivitamins Syrup,Supplement,25,4,9,0
2024-09-07,Multivitamins Syrup,Supplement,28,5,9,1
2024-09-08,Multivitamins Syrup,Supplement,32,6,9,1
2024-09-09,Multivitamins Syrup,Supplement,27,0,9,0
2024-09-10,Multivitamins Syrup,Supplement,32,1,9,0
2024-09-11,Multivitamins Syrup,Supplement,18,2,9,0
2024-09-12,Multivitamins Syrup,Supplement,30,3,9,0
2024-09-13,Multivitamins Syrup,Supplement,27,4,9,0
2024-09-14,Multivitamins Syrup,Supplement,26,5,9,1
2024-09-15,Multivitamins Syrup,Supplement,27,6,9,1
2024-09-16,Multivitamins Syrup,Supplement,20,0,9,0
2024-09-17,Multivitamins Syrup,Supplement,26,1,9,0
2024-09-18,Multivitamins Syrup,Supplement,28,2,9,0
2024-09-19,Multivitamins Syrup,Supplement,32,3,9,0
2024-09-20,Multivitamins Syrup,Supplement,25,4,9,0
2024-09-21,Multivitamins Syrup,Supplement,24,5,9,1
2024-09-22,Multivitamins Syrup,Supplement,25,6,9,1
2024-09-23,Multivitamins Syrup,Supplement,30,0,9,0
2024-09-24,Multivitamins Syrup,Supplement,28,1,9,0
2024-09-25,Multivitamins Syrup,Supplement,25,2,9,0
2024-09-26,Multivitamins Syrup,Supplement,29,3,9,0
2024-09-27,Multivitamins Syrup,Supplement,27,4,9,0
2024-09-28,Multivitamins Syrup,Supplement,30,5,9,1
2024-09-29,Multivitamins Syrup,Supplement,25,6,9,1
2024-09-30,Multivitamins Syrup,Supplement,26,0,9,0
2024-10-01,Multivitamins Syrup,Supplement,23,1,10,0
2024-10-02,Multivitamins Syrup,Supplement,20,2,10,0
2024-10-03,Multivitamins Syrup,Supplement,26,3,10,0
2024-10-04,Multivitamins Syrup,Supplement,25,4,10,0
2024-10-05,Multivitamins Syrup,Supplement,25,5,10,1
2024-10-06,Multivitamins Syrup,Supplement,24,6,10,1
2024-10-07,Multivitamins Syrup,Supplement,20,0,10,0
2024-10-08,Multivitamins Syrup,Supplement,23,1,10,0
2024-10-09,Multivitamins Syrup,Supplement,24,2,10,0
2024-10-10,Multivitamins Syrup,Supplement,22,3,10,0
2024-10-11,Multivitamins Syrup,Supplement,24,4,10,0
2024-10-12,Multivitamins Syrup,Supplement,26,5,10,1
2024-10-13,Multivitamins Syrup,Supplement,31,6,10,1
2024-10-14,Multivitamins Syrup,Supplement,25,0,10,0
2024-10-15,Multivitamins Syrup,Supplement,26,1,10,0
2024-10-16,Multivitamins Syrup,Supplement,24,2,10,0
2024-10-17,Multivitamins Syrup,Supplement,18,3,10,0
2024-10-18,Multivitamins Syrup,Supplement,25,4,10,0
2024-10-19,Multivitamins Syrup,Supplement,25,5,10,1
2024-10-20,Multivitamins Syrup,Supplement,33,6,10,1
2024-10-21,Multivitamins Syrup,Supplement,24,0,10,0
2024-10-22,Multivitamins Syrup,Supplement,26,1,10,0
2024-10-23,Multivitamins Syrup,Supplement,25,2,10,0
2024-10-24,Multivitamins Syrup,Supplement,21,3,10,0
2024-10-25,Multivitamins Syrup,Supplement,28,4,10,0
2024-10-26,Multivitamins Syrup,Supplement,27,5,10,1
2024-10-27,Multivitamins Syrup,Supplement,27,6,10,1
2024-10-28,Multivitamins Syrup,Supplement,22,0,10,0
2024-10-29,Multivitamins Syrup,Supplement,29,1,10,0
2024-10-30,Multivitamins Syrup,Supplement,20,2,10,0
2024-10-31,Multivitamins Syrup,Supplement,27,3,10,0
2024-11-01,Multivitamins Syrup,Supplement,34,4,11,0
2024-11-02,Multivitamins Syrup,Supplement,24,5,11,1
2024-11-03,Multivitamins Syrup,Supplement,25,6,11,1
2024-11-04,Multivitamins Syrup,Supplement,27,0,11,0
2024-11-05,Multivitamins Syrup,Supplement,25,1,11,0
2024-11-06,Multivitamins Syrup,Supplement,22,2,11,0
2024-11-07,Multivitamins Syrup,Supplement,27,3,11,0
2024-11-08,Multivitamins Syrup,Supplement,24,4,11,0
2024-11-09,Multivitamins Syrup,Supplement,29,5,11,1
